NO_PAI,NO,Abertura,PER,VAZAO,PROB,NOME_UHE
231,240,3,5,1040.0,0.3333333333333333,2
240,241,1,6,564.0,0.3333333333333333,2
240,242,2,6,446.0,0.3333333333333333,2
240,243,3,6,1438.0,0.3333333333333333,2
1,244,3,2,3033.0,0.3333333333333333,2
244,245,1,3,713.0,0.3333333333333333,2
245,246,1,4,966.0,0.3333333333333333,2
246,247,1,5,892.0,0.3333333333333333,2
247,248,1,6,495.0,0.3333333333333333,2
247,249,2,6,531.0,0.3333333333333333,2
247,250,3,6,824.0,0.3333333333333333,2
246,251,2,5,996.0,0.3333333333333333,2
251,252,1,6,512.0,0.3333333333333333,2
251,253,2,6,1061.0,0.3333333333333333,2
251,254,3,6,509.0,0.3333333333333333,2
246,255,3,5,610.0,0.3333333333333333,2
255,256,1,6,761.0,0.3333333333333333,2
255,257,2,6,868.0,0.3333333333333333,2
255,258,3,6,441.0,0.3333333333333333,2
245,259,2,4,965.0,0.3333333333333333,2
259,260,1,5,915.0,0.3333333333333333,2
260,261,1,6,808.0,0.3333333333333333,2
260,262,2,6,881.0,0.3333333333333333,2
260,263,3,6,524.0,0.3333333333333333,2
259,264,2,5,829.0,0.3333333333333333,2
264,265,1,6,417.0,0.3333333333333333,2
264,266,2,6,1254.0,0.3333333333333333,2
264,267,3,6,626.0,0.3333333333333333,2
259,268,3,5,527.0,0.3333333333333333,2
268,269,1,6,611.0,0.3333333333333333,2
268,270,2,6,915.0,0.3333333333333333,2
268,271,3,6,611.0,0.3333333333333333,2
245,272,3,4,2077.0,0.3333333333333333,2
272,273,1,5,1677.0,0.3333333333333333,2
273,274,1,6,310.0,0.3333333333333333,2
273,275,2,6,826.0,0.3333333333333333,2
273,276,3,6,579.0,0.3333333333333333,2
272,277,2,5,1185.0,0.3333333333333333,2
277,278,1,6,826.0,0.3333333333333333,2
277,279,2,6,471.0,0.3333333333333333,2
277,280,3,6,632.0,0.3333333333333333,2
272,281,3,5,597.0,0.3333333333333333,2
281,282,1,6,534.0,0.3333333333333333,2
281,283,2,6,698.0,0.3333333333333333,2
281,284,3,6,717.0,0.3333333333333333,2
244,285,2,3,1824.0,0.3333333333333333,2
285,286,1,4,3757.0,0.3333333333333333,2
286,287,1,5,636.0,0.3333333333333333,2
287,288,1,6,909.0,0.3333333333333333,2
287,289,2,6,1438.0,0.3333333333333333,2
287,290,3,6,836.0,0.3333333333333333,2
286,291,2,5,1132.0,0.3333333333333333,2
291,292,1,6,833.0,0.3333333333333333,2
291,293,2,6,417.0,0.3333333333333333,2
291,294,3,6,571.0,0.3333333333333333,2
286,295,3,5,999.0,0.3333333333333333,2
295,296,1,6,417.0,0.3333333333333333,2
295,297,2,6,1003.0,0.3333333333333333,2
295,298,3,6,534.0,0.3333333333333333,2
285,299,2,4,1764.0,0.3333333333333333,2
299,300,1,5,1133.0,0.3333333333333333,2
300,301,1,6,618.0,0.3333333333333333,2
300,302,2,6,838.0,0.3333333333333333,2
300,303,3,6,245.0,0.3333333333333333,2
299,304,2,5,917.0,0.3333333333333333,2
304,305,1,6,909.0,0.3333333333333333,2
304,306,2,6,531.0,0.3333333333333333,2
304,307,3,6,245.0,0.3333333333333333,2
299,308,3,5,2327.0,0.3333333333333333,2
308,309,1,6,765.0,0.3333333333333333,2
308,310,2,6,850.0,0.3333333333333333,2
308,311,3,6,707.0,0.3333333333333333,2
285,312,3,4,1086.0,0.3333333333333333,2
312,313,1,5,806.0,0.3333333333333333,2
313,314,1,6,1003.0,0.3333333333333333,2
313,315,2,6,761.0,0.3333333333333333,2
313,316,3,6,628.0,0.3333333333333333,2
312,317,2,5,1457.0,0.3333333333333333,2
317,318,1,6,508.0,0.3333333333333333,2
317,319,2,6,374.0,0.3333333333333333,2
317,320,3,6,909.0,0.3333333333333333,2
312,321,3,5,1343.0,0.3333333333333333,2
321,322,1,6,1572.0,0.3333333333333333,2
321,323,2,6,757.0,0.3333333333333333,2
321,324,3,6,310.0,0.3333333333333333,2
244,325,3,3,722.0,0.3333333333333333,2
325,326,1,4,1631.0,0.3333333333333333,2
326,327,1,5,999.0,0.3333333333333333,2
327,328,1,6,1254.0,0.3333333333333333,2
327,329,2,6,843.0,0.3333333333333333,2
327,330,3,6,508.0,0.3333333333333333,2
326,331,2,5,636.0,0.3333333333333333,2
331,332,1,6,796.0,0.3333333333333333,2
331,333,2,6,881.0,0.3333333333333333,2
331,334,3,6,508.0,0.3333333333333333,2
326,335,3,5,1133.0,0.3333333333333333,2
335,336,1,6,531.0,0.3333333333333333,2
335,337,2,6,952.0,0.3333333333333333,2
335,338,3,6,698.0,0.3333333333333333,2
325,339,2,4,994.0,0.3333333333333333,2
339,340,1,5,944.0,0.3333333333333333,2
340,341,1,6,693.0,0.3333333333333333,2
340,342,2,6,861.0,0.3333333333333333,2
340,343,3,6,899.0,0.3333333333333333,2
339,344,2,5,1321.0,0.3333333333333333,2
344,345,1,6,824.0,0.3333333333333333,2
344,346,2,6,632.0,0.3333333333333333,2
344,347,3,6,698.0,0.3333333333333333,2
339,348,3,5,996.0,0.3333333333333333,2
348,349,1,6,880.0,0.3333333333333333,2
348,350,2,6,618.0,0.3333333333333333,2
348,351,3,6,693.0,0.3333333333333333,2
325,352,3,4,1266.0,0.3333333333333333,2
352,353,1,5,1915.0,0.3333333333333333,2
353,354,1,6,838.0,0.3333333333333333,2
353,355,2,6,769.0,0.3333333333333333,2
353,356,3,6,796.0,0.3333333333333333,2
352,357,2,5,1152.0,0.3333333333333333,2
357,358,1,6,717.0,0.3333333333333333,2
357,359,2,6,824.0,0.3333333333333333,2
357,360,3,6,850.0,0.3333333333333333,2
352,361,3,5,1144.0,0.3333333333333333,2
361,362,1,6,698.0,0.3333333333333333,2
361,363,2,6,388.0,0.3333333333333333,2
361,364,3,6,630.0,0.3333333333333333,2
